full_name,name,neo,pha,epoch_cal,equinox,e,a,q,i,w,H,ma,ad,n,moid,t_jup,om,per,per_y,class,producer,first_obs,last_obs,diameter,albedo
"412395 (2013 TX127)",,N,N,20200531.0000000,J2000,.0485457135046756,5.153383255607828,4.903208588501298,11.47053154481769,126.8649105393646,13.4,232.3543142510726,5.403557922714358,.0842491272949763,3.90921,2.958,206.3273973832749,4273.041295010144,11.6989494729915,TJN,"Otto Matic",2000-08-31,2020-01-23,,
"412432 (2014 EG31)",,N,N,20200531.0000000,J2000,.0200969712820637,5.151521140869852,5.047991168442847,8.336523514121485,25.78565558775027,13.8,213.5902323147666,5.255051113296858,.08429481158319035,4.05864,2.979,137.4812960827944,4270.725484031918,11.6926091280819,TJN,"Otto Matic",2001-02-21,2019-10-03,,
"412477 (2014 HR147)",,N,N,20200531.0000000,J2000,.0567595173656996,5.266782801325497,4.967842751452294,20.62771275791115,27.32848823216481,13.2,337.6711397405504,5.565722851198699,.08154286397899263,3.98249,2.868,7.522886055092998,4414.855971857261,12.0872168976243,TJN,"Otto Matic",2007-10-16,2019-09-07,,
"412976 (1987 WC)",,Y,N,20200531.0000000,J2000,.2338613269497804,1.362269935219685,1.043687680505418,15.84473418712945,308.3523005829355,19.8,205.0899457900055,1.680852189933953,.6198824143461652,.11584,4.777,51.83145738674736,580.7553040195826,1.59002136624116,AMO,"Otto Matic",1987-11-21,2020-01-31,,
"412977 (1990 UO)",,Y,N,20200531.0000000,J2000,.7729029057671829,1.257012392923586,.2854638618475864,31.55585763312485,333.4768951031494,19.5,291.7236116285926,2.228560923999585,.6993502504620781,.204378,4.671,205.6205344901252,514.7635248034001,1.40934572156988,APO,"Otto Matic",1990-10-22,2015-09-21,,
"412983 (1996 FO3)",,Y,Y,20200531.0000000,J2000,.2905159723101243,1.442858650156,1.023685166499857,5.813786446570484,162.6822355732378,20.2,14.38397929148378,1.862032133812144,.5686805734818107,.0414378,4.609,333.5957179355565,633.0443078015829,1.73318085640406,AMO,"Otto Matic",1996-03-24,2019-09-25,,
"412995 (1999 LP28)",,Y,N,20200531.0000000,J2000,.09050849733893203,1.219058971938781,1.108723776221059,16.31344424071917,307.1571045045782,20.0,71.3634082910764,1.329394167656504,.7322628494365173,.157441,5.194,87.95022485015944,491.6267434255652,1.34600066646288,AMO,"Otto Matic",1999-06-14,2019-03-01,,
"413002 (1999 VG22)",,Y,N,20200531.0000000,J2000,.3299133938919479,1.646227605475502,1.103115069034465,2.850817919988397,222.7861141127709,18.6,208.6630760640074,2.189340141916539,.4666263439829075,.122597,4.221,271.3058258275498,771.4952330535087,2.11223883108421,AMO,"Otto Matic",1998-03-31,2019-02-09,,
"413021 (2000 SY162)",,Y,N,20200531.0000000,J2000,.457485204461593,2.294138689753361,1.244604182208294,7.670643900830213,187.9857133211248,19.4,227.4389250082487,3.343673197298429,.2836446327934709,.253378,3.438,213.258407468023,1269.193767054727,3.47486315415394,AMO,"Otto Matic",2000-09-28,2014-12-27,,
"413038 (2001 MF1)",,Y,N,20200531.0000000,J2000,.5768233621212829,2.650309052283881,1.121548874085022,23.97505247978048,76.52718560975154,16.9,118.7312908210742,4.179069230482741,.2284332370294609,.342286,3.029,288.6390254137854,1575.952802146611,4.31472361984014,AMO,"Otto Matic",2001-06-16,2020-02-22,1.237,0.301
"413091 (2001 UV16)",,Y,N,20200531.0000000,J2000,.503304888726136,2.188789755942577,1.087161171382992,38.04643025084823,92.43326360390111,18.2,222.7260134112355,3.290418340502162,.304367307696781,.444308,3.260,30.73567539543684,1182.781431830523,3.23827907414243,AMO,"Otto Matic",2001-10-23,2014-11-24,,
"413123 (2001 XS1)",,Y,N,20200531.0000000,J2000,.5562158108765829,2.669657364477497,1.184751728732005,10.9376333932951,164.8245205673366,19.0,87.40793191748224,4.15456300022299,.2259543909594754,.204983,3.118,266.9244711227787,1593.241885990016,4.3620585516496,AMO,"Otto Matic",2001-08-22,2015-03-10,,
"413192 (2002 VY94)",,Y,N,20200531.0000000,J2000,.657274502066903,3.244694976746244,1.112039701546375,9.135723003066937,233.2530549841798,16.8,329.1170333341392,5.377350251946113,.168633269090197,.174153,2.779,280.8766132316516,2134.810064124692,5.84479141444132,AMO,"Otto Matic",2002-11-14,2019-10-25,2.160,0.021
"413195 (2002 WJ27)",,N,N,20200531.0000000,J2000,.127250451524703,5.204050390316201,4.541832628391157,16.58600291370316,136.2561217603712,13.9,219.4043916852355,5.866268152241245,.0830217405629525,3.56178,2.901,218.8434043373945,4336.213593679411,11.8719058006281,TJN,"Otto Matic",2001-09-25,2019-04-08,,
"413216 (2003 MA)",,Y,N,20200531.0000000,J2000,.3020049220032192,1.641601122006681,1.145829503194656,21.95954271885168,158.2252486823801,18.9,21.58342050273487,2.137372740818706,.4686003552464731,.145184,4.163,96.00271805715845,768.2452562603121,2.1033408795628,AMO,"Otto Matic",2001-05-26,2016-10-06,,
"413260 (2003 TL4)",,Y,Y,20200531.0000000,J2000,.3814077969353454,.7766895100987412,.4804540751491876,12.18692073023762,321.9480393037882,19.4,330.6585025413137,1.072924945048295,1.439901931980687,.0248607,7.398,220.0250111719814,250.0170268573738,0.684509313777889,ATE,"Otto Matic",2003-10-13,2018-11-03,,
"413421 (2004 VA15)",,Y,N,20200531.0000000,J2000,.583852796004715,2.906838534331957,1.209672728527996,17.80794862561881,332.1707412894637,18.3,61.49824420726069,4.604004340135918,.1988715738708156,.240356,2.946,34.7220502607374,1810.213460843084,4.95609434864636,AMO,"Otto Matic",2004-11-05,2020-01-24,1.900,0.023
